"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","rt","response","accuracy","view_history","block_number","trial_number","run_number","task","stimulus","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"pavlovia","0","456","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","492","0.0-1.0","true","false","[]","[]","[]","mouse_tracker_socialcog","preload","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","18046","0.0-2.0","true","","","","","","fullscreen","","","","","","","","","","","","","","","","","","","","",""
"survey","3","36293","0.0-3.0","","","","","","","demographics_survey","18213","{""MouseSelection"":""Mouse"",""age"":""22"",""handedness"":""Right-handed"",""gender"":""Female"",""EMScode"":""11235""}","[]","","","","","","","","","","","","","","","","","",""
"instructions","4","148460","0.0-4.0","","","","","","","instructions","112166","","","[{""page_index"":0,""viewing_time"":39795},{""page_index"":1,""viewing_time"":6629},{""page_index"":2,""viewing_time"":63034},{""page_index"":3,""viewing_time"":2709}]","","","","","","","","","","","","","","","","",""
"instructions","5","160714","0.0-5.0-0.0","","","","","","","run_instructions","12254","","","[{""page_index"":0,""viewing_time"":12254}]","1","0","1","Whole Image","","","","","","","","","","","","",""
"html-button-response","6","163207","0.0-5.0-1.0-0.0","","","","","","","trial_start","2492","0","","","1","0","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","7","163433","0.0-5.0-1.0-1.0","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","8","164435","0.0-5.0-1.0-2.0","","","","","","","main_trial","null","null","","","1","0","1","Whole Image","./stimuli/wedding_ambiguous_nointeraction.jpg","./stimuli/wedding_ambiguous_nointeraction.jpg","","","","[{""x"":960,""y"":788,""t"":967,""event"":""mousemove""},{""x"":953,""y"":788,""t"":978,""event"":""mousemove""},{""x"":936,""y"":786,""t"":996,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","9","168352","0.0-5.0-1.0-0.1","","","","","","","trial_start","3916","0","","","1","1","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","10","168504","0.0-5.0-1.0-1.1","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","11","169506","0.0-5.0-1.0-2.1","","","","","","","main_trial","null","null","","","1","1","1","Whole Image","./stimuli/hospital_positive_interaction.jpg","./stimuli/hospital_positive_interaction.jpg","","","","[]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"instructions","12","229432","0.0-5.0-1.0-3.1-0.1","","","","","","","break","59926","","","[{""page_index"":0,""viewing_time"":59926}]","2","2","1","Whole Image","","","","","","","","","","","","",""
"html-button-response","13","238206","0.0-5.0-1.0-0.2","","","","","","","trial_start","8773","0","","","2","2","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","14","238207","0.0-5.0-1.0-1.2","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","15","239209","0.0-5.0-1.0-2.2","","","","","","","main_trial","null","null","","","2","2","1","Whole Image","./stimuli/war_negative_interaction.jpg","./stimuli/war_negative_interaction.jpg","","","","[]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"instructions","16","241343","0.0-5.0-1.0-4.2-0.2","","","","","","","last_break","2133","","","[{""page_index"":0,""viewing_time"":2133}]","3","3","1","Whole Image","","","","","","","","","","","","",""
